medium 		, 0.07
difficult 	, 0.06
verydifficult 	, 0.07
expert 		, 0.07
lambda 		, 0.11
hard17 		, 0.10
symme 		, 0.09
eastermonster 	, 0.09
tarek_052  	, 0.09
goldennugget 	, 0.08
coloin 		, 0.09
hardest 	, 0.08
extra1  	, 0.11
extra2 		, 0.10
extra3 		, 0.11
extra4		, 0.11
